filepath,class_id,class_name,source_dataset,original_split
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_left_seg_1_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_left_seg_2_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_left_seg_3_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_left_seg_4_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_left_seg_5_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_right_seg_1_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_right_seg_2_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_right_seg_3_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_right_seg_4_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_right_seg_5_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_top_seg_4_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand1_0_top_seg_5_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand2_0_top_seg_5_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand4_0_bot_seg_1_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\0\hand5_0_dif_seg_1_cropped.jpeg,0,0,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_dif_seg_1_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_dif_seg_2_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_dif_seg_3_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_dif_seg_4_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_dif_seg_5_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_left_seg_1_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_left_seg_2_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_left_seg_3_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_left_seg_4_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand1_1_left_seg_5_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_dif_seg_1_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_dif_seg_2_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_dif_seg_3_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_dif_seg_4_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_dif_seg_5_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_left_seg_1_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_left_seg_2_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_left_seg_3_cropped.jpeg,1,1,combine_asl,all
C:\Users\jordi\Desktop\Git\DeepLearning-FinalProject\data\combine_asl_dataset\1\hand2_1_left_seg_4_cropped.jpeg,1,1,combine_asl,all
